experiment	parameter	iteration	operation	latency_us	ops_count	delta_bytes	notes
scale_agents	1	1	branch_create_total	4076	1		
scale_agents	1	1	branch_create_avg	4076	1		
scale_agents	1	1	parallel_workload	526182	1		fails=0
scale_agents	1	1	commit	7195	1		
scale_agents	1	1	cleanup	14207	1		
scale_agents	1	2	branch_create_total	5431	1		
scale_agents	1	2	branch_create_avg	5431	1		
scale_agents	1	2	parallel_workload	528399	1		fails=0
scale_agents	1	2	commit	6421	1		
scale_agents	1	2	cleanup	19778	1		
scale_agents	1	3	branch_create_total	5494	1		
scale_agents	1	3	branch_create_avg	5494	1		
scale_agents	1	3	parallel_workload	547399	1		fails=0
scale_agents	1	3	commit	9607	1		
scale_agents	1	3	cleanup	16249	1		
scale_agents	2	1	branch_create_total	7572	2		
scale_agents	2	1	branch_create_avg	3786	2		
scale_agents	2	1	parallel_workload	582696	2		fails=0
scale_agents	2	1	commit	6274	1		
scale_agents	2	1	estale_detect	8140	1		rc=1
scale_agents	2	1	cleanup	22013	2		
scale_agents	2	2	branch_create_total	10103	2		
scale_agents	2	2	branch_create_avg	5051	2		
scale_agents	2	2	parallel_workload	543486	2		fails=0
scale_agents	2	2	commit	9582	1		
scale_agents	2	2	estale_detect	4476	1		rc=1
scale_agents	2	2	cleanup	16557	2		
scale_agents	2	3	branch_create_total	9241	2		
scale_agents	2	3	branch_create_avg	4620	2		
scale_agents	2	3	parallel_workload	548317	2		fails=0
scale_agents	2	3	commit	5399	1		
scale_agents	2	3	estale_detect	5502	1		rc=1
scale_agents	2	3	cleanup	16312	2		
scale_agents	4	1	branch_create_total	21351	4		
scale_agents	4	1	branch_create_avg	5337	4		
scale_agents	4	1	parallel_workload	602268	4		fails=0
scale_agents	4	1	commit	8011	1		
scale_agents	4	1	estale_detect	6145	1		rc=1
scale_agents	4	1	cleanup	22772	4		
scale_agents	4	2	branch_create_total	16742	4		
scale_agents	4	2	branch_create_avg	4185	4		
scale_agents	4	2	parallel_workload	599315	4		fails=0
scale_agents	4	2	commit	4615	1		
scale_agents	4	2	estale_detect	4333	1		rc=1
scale_agents	4	2	cleanup	24804	4		
scale_agents	4	3	branch_create_total	17419	4		
scale_agents	4	3	branch_create_avg	4354	4		
scale_agents	4	3	parallel_workload	619138	4		fails=0
scale_agents	4	3	commit	4957	1		
scale_agents	4	3	estale_detect	3831	1		rc=1
scale_agents	4	3	cleanup	26757	4		
scale_agents	8	1	branch_create_total	38580	8		
scale_agents	8	1	branch_create_avg	4822	8		
scale_agents	8	1	parallel_workload	669078	8		fails=0
scale_agents	8	1	commit	5471	1		
scale_agents	8	1	estale_detect	4193	1		rc=1
scale_agents	8	1	cleanup	38947	8		
scale_agents	8	2	branch_create_total	37897	8		
scale_agents	8	2	branch_create_avg	4737	8		
scale_agents	8	2	parallel_workload	628198	8		fails=0
scale_agents	8	2	commit	6667	1		
scale_agents	8	2	estale_detect	4457	1		rc=1
scale_agents	8	2	cleanup	31432	8		
scale_agents	8	3	branch_create_total	37498	8		
scale_agents	8	3	branch_create_avg	4687	8		
scale_agents	8	3	parallel_workload	639915	8		fails=0
scale_agents	8	3	commit	7485	1		
scale_agents	8	3	estale_detect	4584	1		rc=1
scale_agents	8	3	cleanup	28399	8		
scale_agents	16	1	branch_create_total	92533	16		
scale_agents	16	1	branch_create_avg	5783	16		
scale_agents	16	1	parallel_workload	763445	16		fails=0
scale_agents	16	1	commit	10479	1		
scale_agents	16	1	estale_detect	4315	1		rc=1
scale_agents	16	1	cleanup	45969	16		
scale_agents	16	2	branch_create_total	74579	16		
scale_agents	16	2	branch_create_avg	4661	16		
scale_agents	16	2	parallel_workload	793028	16		fails=0
scale_agents	16	2	commit	7999	1		
scale_agents	16	2	estale_detect	5960	1		rc=1
scale_agents	16	2	cleanup	49899	16		
scale_agents	16	3	branch_create_total	82432	16		
scale_agents	16	3	branch_create_avg	5152	16		
scale_agents	16	3	parallel_workload	787314	16		fails=0
scale_agents	16	3	commit	8582	1		
scale_agents	16	3	estale_detect	4980	1		rc=1
scale_agents	16	3	cleanup	50737	16		
scale_agents	32	1	branch_create_total	152822	32		
scale_agents	32	1	branch_create_avg	4775	32		
scale_agents	32	1	parallel_workload	859543	32		fails=0
scale_agents	32	1	commit	5684	1		
