experiment	parameter	iteration	operation	latency_ns	ops_count	thru_mops	notes
gpu_coord_lock	1	1	lock_unlock_rt	2047.8	10000	0.569	single_thread
gpu_coord_lock	1	2	lock_unlock_rt	2048.9	10000	0.569	single_thread
gpu_coord_lock	1	3	lock_unlock_rt	2046.7	10000	0.569	single_thread
gpu_coord_lock	1	4	lock_unlock_rt	2050.9	10000	0.568	single_thread
gpu_coord_lock	1	5	lock_unlock_rt	2045.4	10000	0.570	single_thread
gpu_commit_seq	1	1	volatile_read	532.3	10000	2.189	single_thread
gpu_commit_seq	1	2	volatile_read	532.8	10000	2.187	single_thread
gpu_commit_seq	1	3	volatile_read	531.8	10000	2.191	single_thread
gpu_commit_seq	1	4	volatile_read	524.5	10000	2.219	single_thread
gpu_commit_seq	1	5	volatile_read	524.1	10000	2.221	single_thread
gpu_pending_ctr	1	1	cas_inc_dec	1786.7	20000	0.653	single_thread
gpu_pending_ctr	1	2	cas_inc_dec	1817.5	20000	0.641	single_thread
gpu_pending_ctr	1	3	cas_inc_dec	1817.8	20000	0.641	single_thread
gpu_pending_ctr	1	4	cas_inc_dec	1817.6	20000	0.641	single_thread
gpu_pending_ctr	1	5	cas_inc_dec	1817.6	20000	0.641	single_thread
gpu_pcache_lookup	1	1	lookup_throughput	918.8	10000	1.088	
gpu_pcache_lookup	1	2	lookup_throughput	914.4	10000	1.094	
gpu_pcache_lookup	1	3	lookup_throughput	908.5	10000	1.101	
gpu_pcache_lookup	1	4	lookup_throughput	908.4	10000	1.101	
gpu_pcache_lookup	1	5	lookup_throughput	908.7	10000	1.101	
gpu_pcache_lookup	32	1	lookup_throughput	30.4	320000	32.929	
gpu_pcache_lookup	32	2	lookup_throughput	30.4	320000	32.860	
gpu_pcache_lookup	32	3	lookup_throughput	30.4	320000	32.847	
gpu_pcache_lookup	32	4	lookup_throughput	30.4	320000	32.860	
gpu_pcache_lookup	32	5	lookup_throughput	30.5	320000	32.833	
gpu_pcache_lookup	64	1	lookup_throughput	20.3	640000	49.253	
gpu_pcache_lookup	64	2	lookup_throughput	20.3	640000	49.204	
gpu_pcache_lookup	64	3	lookup_throughput	20.3	640000	49.161	
gpu_pcache_lookup	64	4	lookup_throughput	20.3	640000	49.246	
gpu_pcache_lookup	64	5	lookup_throughput	20.3	640000	49.247	
gpu_pcache_lookup	128	1	lookup_throughput	15.2	1280000	65.662	
gpu_pcache_lookup	128	2	lookup_throughput	15.2	1280000	65.661	
gpu_pcache_lookup	128	3	lookup_throughput	15.2	1280000	65.683	
gpu_pcache_lookup	128	4	lookup_throughput	15.2	1280000	65.671	
gpu_pcache_lookup	128	5	lookup_throughput	15.2	1280000	65.663	
gpu_pcache_lookup	256	1	lookup_throughput	7.6	2560000	131.157	
gpu_pcache_lookup	256	2	lookup_throughput	7.6	2560000	131.091	
gpu_pcache_lookup	256	3	lookup_throughput	7.6	2560000	130.796	
gpu_pcache_lookup	256	4	lookup_throughput	7.6	2560000	130.978	
gpu_pcache_lookup	256	5	lookup_throughput	7.6	2560000	131.228	
gpu_pcache_lookup	512	1	lookup_throughput	3.7	5120000	268.549	
